Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
HAUT-MEYREAU NU COMME UN VERRE 2018,ROUGE,SANS IG,14.0,VIGNOBLES INVINDIA,FRANCE,7.0,8,2,4,0,Pourpre soutenu,Fruit mûrs légèrement épicés,"Légère impression de sucrosité, solaire et charnu",,"Bordeaux possède une image qui peut être parfois considérée comme élitiste dans le milieu du vin, le moins que l'on puisse dire c'est que cette cuvée bouscule et fait voler en éclats les codes.
Le Château Haut-Meyreau nous montre ici son savoir-faire et sa diversité dans ces vins, capable de faire de grands bordeaux de garde et d'autres, comme le vin rouge ""nu comme un verre"", qui respirent le fruit et la convivialité. Le raisin se met à nu et fait exploser tout le fruit du merlot. Fruité et rond, il est le compagnon parfait pour des repas simples et conviviaux.
Une bouteille qui vous fera enlever tous vos préjugés sur les vins de Bordeaux et même peut-être vos vêtements, qui sait... On ne vous l'a pas encore dit, Nu Comme un Verre est un vin Végan !
Mais savez-vous ce qu'est un vin vegan ? Un petit cours : pour faire du vin, on ajoute une sorte de colle qui élimine les particules et les résidus de levure. Habituellement, on utilise du blanc d'oeuf, du poisson ou de la caséine pour réaliser ce procédé. Ici, on utilise une colle végétale élaborée à base de protéines telles que le pois, le blé ou encore la pomme de terre.
Un vin qui n'a rien à cacher ! Vous savez tout !",https://vandb.fr/haut-meyreau-nu-comme-un-verre-2018.html
LE BRUN DE NEUVILLE BLANC DE BLANCS BRUT,EFFERVESCENT BLANC,CHAMPAGNE,12.0,LE BRUN DE NEUVILLE,FRANCE,27.9,6,8,6,2,"Jaune doré, reflets paillés","Floral, pâtissier, complexe","Tonique, élégant, fin","Fruits de mer, Coquillages et crustacés, Apéro, Tapas","Une très jolie cuvée du Brun de Neuville, pour tout ceux qui veulent découvrir le blanc de blanc. Issus uniquement de raisins blancs, souvent de chardonnay comme c'est le cas pour cette cuvée, ils sont réputés pour être plus fins et plus délicats.
Des notes de fruits blancs, d'agrumes, pourvu d'une belle richesse aromatique et d'une belle longueur en bouche. La finale est tonique pour ce champagne peu dosé, à déguster frais, en apéritif, avec des noix de st jacques, un homard et même tout au long d'un repas.
La maison Le Brun De Neuville accompagne le réseau V and B depuis de nombreuses années maintenant.",https://vandb.fr/le-brun-de-neuville-blanc-de-blancs-brut.html
DOMAINE BELLEGARDE HISTORIQUE JURANÇON MOELLEUX 2016,BLANC MOELLEUX,JURANÇON,12.5,DOMAINE BELLEGARDE,FRANCE,14.2,8,6,8,0,"Jaune doré, limpide et brillant","Miellé, citron confit, subtil","Gras, frais, tropical","Apéro, Dessert fruité, Viande blanche, Foie gras","Jurançon aime à rappeler le passé royal de son vin, où le nom de cette région était associé à la royauté. Délaissé un temps, cette appellation est revenue sur le devant de la scène en douceur, car c'est ce qu'est la patte du Jurançon, cette douceur. Bien aidé par le petit et le gros menseng, cépages prédominants, on y produit des blancs sec et moelleux qui feraient rougir de plaisir les amoureux de ces délicieux nectars dorés.
Et en matière de plaisir le domaine Bellegarde sait y faire. Un plaisir visuel avec ce jus couleur or resplendissant, qui en bouche se traduit par une gourmandise complétée d'une vivacité signature des meilleurs moelleux. Passionné d'histoire ? Cette cuvée historique c'est le monument incontournable du domaine, et c'est autre chose qu'aller voir un tas de cailloux en famille un dimanche sous la pluie.",https://vandb.fr/domaine-bellegarde-historique-jurancon-moelleux-2016.html
DOMAINE EMILIANA CARMENÈRE ECO-BALANCE 2018,ROUGE,CHILI,13.5,DOMAINE EMILIANA,CHILI,11.6,6,2,6,0,"Rouge grenat, reflets violets","Cerise, épices, poivre noir","Équilibré, rond, ensoleillé","Viande rouge, Viande blanche, Gibier, Barbecue","Eco-Balance est issu du vignoble le plus précurseur du Chili, en agriculture bio depuis 1988 et engagé dans la biodynamie depuis 2005 : Emiliana. Un vignoble très réputé puisqu'il a obtenu plusieurs années de suite le titre de ""Best Wine of Chile"". Il faut dire qu'il est situé dans la vallée de la Colchagua, l'un des plus beau terroir du pays ! ils ont également une philosophie très orientée vers l'humain : scolarisation des enfants des ouvriers viticoles, distribution de micro-crédits, construction d’habitat durable…
Cépage iconique du Chili, saviez vous que la carmenère est à l'origine un cépage bordelais ? Décimé par la maladie sous nos latitudes, il s'est tellement bien adapté au terroir chilien qu'il est aujourd'hui la base des plus grands crus.",https://vandb.fr/domaine-emiliana-carmenere-eco-balance-2018.html
CHÂTEAU MAC CARTHY SAINT ESTÈPHE 2017,ROUGE,MÉDOC,13.5,CHÂTEAU HAUT-MARBUZET,FRANCE,28.2,8,4,6,4,Rouge grenat,"Fruits rouges, cassis","Fruits rouges, cassis, puissant, équilibré","Viande rouge, Agneau, Gibier","Saint-Estèphe, voisine directe de Pauillac, est l'une des appellations qui compte dans la région médocaine, à l'image de Margaux et Saint-Julien. Dans cette région les grands vins sont une religion, où les terroirs d'exception contribuent à ses vins d'exception.
Ce Château Mac Carthy est le second vin du Château Haut-Marbuzet. Ce domaine est marqué de l'empreinte de Hervé Dubosq et son fils Henri. Lorsque le père reprend le domaine en 1952, celui-ci est dans un état proche de l'abandon, un gros travail de réhabilitation, de travail de la vigne et au chai permet de sortir le domaine de cet état.
Ce Château Mac Carthy devrait étonner les connaisseurs de ce type de vin par son approche très fruité, où la bouche en est une véritable explosion, tout en gardant une puissance qui nous rappelle où nous sommes.",https://vandb.fr/chateau-mac-carthy-saint-estephe-2017.html
CHÂTEAU LA FONTAINE LOUPIAC 2017,BLANC MOELLEUX,LOUPIAC,12.5,CHÂTEAU LA FONTAINE,FRANCE,10.0,8,6,6,0,"Jaune paille, reflets dorés","Exotique, miellé, confit","Gourmande, fruité, vive, moelleuse","Foie gras, Dessert fruité, Fromage à pate persillée","Si la cigale était arrivée avec ce Château La Fontaine, nul doute que la fourmi aurait accepté volontier de lui donner quelques grains pour subsister... Mais bon nous ne pouvons refaire l'histoire.
Ce que l'on peut faire par contre c'est vous présenter ce Loupiac. Tout le monde connaît le Sauternes, le moelleux le plus célèbre de la région bordelaise. Mais le savoir-faire de cette région ne se limite pas à cette appellation ! Située le long de la Garonne, Loupiac est l'une des appellations bordelaises qui produit des vins moelleux aériens et délicats.
Le Château La Fontaine se dégustera aussi bien dans sa jeunesse, pour profiter d'une certaine vivacité conjuguée à une élégance aromatique, mais aussi après quelques années pour avoir un profil plus pur et plus gourmand encore.",https://vandb.fr/chateau-la-fontaine-loupiac-2017.html
JÉRÔME GALEYRAND ANTONIN ROUGE 2017,ROUGE,BOURGOGNE,12.5,JÉRÔME GALEYRAND,FRANCE,21.0,6,6,4,0,"Rouge rubis clair, reflets rosés","Fruits rouges précis, sous bois","Charme, élégant, profond","Viande rouge, Viande blanche, Charcuterie, Barbecue","Nouveau vigneron responsable et ambitieux, Jerôme Galeyrand possède des vignes de Marsannay jusqu'à Nuit-Saint-Georges. Originaire de Mayenne, il s'est converti à la vigne, par passion en 2002 et fait partie aujourd'hui des grands noms bourguignons chez les vignerons indépendants.
Il travaille le pinot noir avec une belle précision, faisant parler le terroir de la Côte d'or à travers ses bouteilles. Un terroir qu'il respecte d'ailleurs à 100% puisque si Jérôme Galeyrand n'est pas labellisé biodynamie, il produit tout de même ses vins comme tel. Des arômes de fruits rouges et de sous bois expriment la fraîcheur native du pinot noir. Une bouche élégante et charmeuse d'une façon que seule la Côte d'Or sait faire ressortir. N'hésitez pas à marier la cuvée Antonin avec des viandes rouges, des viandes blanches rôties ou même de la charcuterie.",https://vandb.fr/jerome-galeyrand-antonin-rouge-2017.html
DE CHANCENY VOUVRAY EXCELLENCE 2016,EFFERVESCENT BLANC,VOUVRAY,13.0,CAVE DE VOUVRAY,FRANCE,10.2,6,8,6,4,"Robe jaune clair, reflets verts","Amande grillée, fruits secs et exotiques","Fines bulles, Onctueux, Charnu","Tapas, Apéro, Salade de saison","Avec ses fines bulles onctueuses, ses arômes riches et variés, la cuvée Excellence présente une belle expression du Chenin, cépage star de l'appellation Vouvray et également appelé Pineau de Loire.
Élaboré à partir de la méthode traditionnelle, appelée également méthode champenoise, il bénéficie également de conditions idéales pour vieillir en caves troglodyte. Un joli vin qui peut facilement venir côtoyer certains Champagnes.
Une effervescence fine, des arômes de fruits secs et de fruits exotiques, Excellence de De Chanceny est la bulle idéale pour fêter un événement ou tout simplement se faire plaisir à l'apéritif.",https://vandb.fr/de-chanceny-vouvray-excellence-2016.html
JÉRÔME GALEYRAND FIXIN LE CHAMPS DES CHARMES 2017,ROUGE,FIXIN,13.0,DOMAINE JÉRÔME GALEYRAND,FRANCE,39.3,10,6,4,4,Rouge violine,"Fruits rouges et noirs, Violette,","Corsé, Tannique, Dense","Viande rouge, Gibier, Burger, Ribs","Fixin est une petite appellation, voisine de la bien connue Gevrey-Chambertin. Longtemps en rivalité, les deux vignobles se sont pourtant maintenus à des niveaux de qualité et de prix équivalent, et ce depuis le XIXème siècle. À l'époque, les sols argileux de Fixin permettaient une production en grande quantité, mais le Marquis de Montmort, diminua volontairement les rendements afin de maintenir la valeur de Fixin. L'ancien propriétaire du Clos de la Perrière engagea une politique de qualité en pratiquant l'élagage des ceps de vigne.
Sur le sol du Champs des Charmes de Jérôme Galeyrand, le pinot noir donne des vins corsés, aux arômes de fruits rouges et noirs (cassis, cerise) et de violette. Un véritable vin d'hiver qui, après quelques années en cave accompagnera à merveille un bœuf bourguignon.",https://vandb.fr/jerome-galeyrand-fixin-le-champs-des-charmes-2017.html
CHÂTEAU BELLEVUE DE TAYAC MARGAUX 2015,ROUGE,MARGAUX,13.5,DOMAINE FABRE,FRANCE,43.5,4,6,10,6,Couleur profonde,"Fruits rouges précis, complexe, boisé élégant","Profond, dense, élégant",,"propriétés situées sur la rive gauche, dans la région médocaine , cette famille a à cœur de puiser le meilleur de ces terroirs d'exception. C'est en famille qu'est géré le suivi de la vigne, la vinification, mais aussi la commercialisation des vins, une jolie réussite!
Ce Margaux, à la robe profonde, propose un vin complexe, plein avec un boisé élégant. Un vin fait dans la tradition de Margaux, dans le sens positif du terme, avec un savoir-faire et une maîtrise unique.",https://vandb.fr/chateau-bellevue-de-tayac-margaux-2015.html
PROSECCO TUTELA,EFFERVESCENT BLANC,ITALIE,11.0,AUCUN,ITALIE,7.3,6,8,6,0,Robe jaune pâle,"Poire, Pomme verte, Agrumes","Bulle fine, Vif,","Tarte sucrée, Apéro, Dessert fruité, Glace et sorbet","Le Prosecco est en Italie ce que le champagne est en France ! Plus informel, ce dernier peut accompagner tout vos moments de plaisir, du repas simple aux grandes nouvelles.
Le Prosecco Tutela vient de la province de Trévise, proche de Venise, le terroir le plus réputé pour la qualité de ses vins ! Disponible uniquement chez V and B, ce spumante (vin effervescent) servit bien frais donnera un coup de fouet à vos papilles en apéritif.
À consommer rapidement et à servir frais.",https://vandb.fr/prosecco-tutela.html
CHÂTEAU DES GRAVIÈRES GRAVES BLANC 2017,BLANC,GRAVES,12.5,CHÂTEAU DES GRAVIÈRES,FRANCE,8.0,8,8,6,0,"Jaune pâle, reflets dorés, limpide","Agrumes frais, exotiques, floral","Rond, vif, croquant","Fruits de mer, Coquillages et crustacés, Poisson, Fromage à pate cuite","Les vins blancs de la région de Graves sont réputés pour ses vins très secs et aromatiques, à base de Sauvignon blanc et de Sémillon, qui, alliés avec un terroir unique, vous offre des vins minéraux et vifs.
La famille Labuzan est implantée depuis 1847 dans la région de Graves. Avec 7 générations qui se sont succédé à la tête du vignoble familiale, celui-ci a su traverser les époques, s’agrandir et surtout maîtriser son art à la perfection.
Ce vin blanc du Château des Gravières dévoile une belle vivacité, et une rondeur très agréable en bouche. On retrouve l'influence du Sauvignon grâce à de jolies notes citronnées.",https://vandb.fr/chateau-des-gravieres-graves-blanc-2017.html
DEMOISELLES TATIN REUILLY BLANC 2018,BLANC,REUILLY,12.5,DOMAINE TATIN,FRANCE,12.5,8,8,4,0,"Or pâle, reflets verts","Agrumes, buis, bourgeon de cassis","Frais, expressif, rond","Viande blanche, Crustacés, Coquillages et crustacés, Poisson, Poisson grillé, Fruits de mer","Emblématique du Berry, Reuilly est une des grandes appellations du Centre Loire. Son climat et sa surface similaires à ceux de Sancerre produisent des vins blancs très qualitatifs à l'attaque fraîche et fruitée et aux arômes minéraux. Mais contrairement à leurs célèbres voisins, les meilleurs Sauvignons de Reuilly restent bien moins chers.
La famille Tatin cultive la vigne et produit du vin depuis les années 90, mais c'est en 2002 qu'elle acquiert le vignobles des ""Demoiselles Tatin"". Et si vous vous demandez ce que représente l'étiquette, il s'agit justement des trois grâces/demoiselles représentées par le sculpteur angevin Jean Tempereau.
Mais entre nous...on dirait aussi des vignes non ?",https://vandb.fr/demoiselles-tatin-reuilly-blanc-2018.html
MARQUIS DE MASCARET BLAYE CÔTES DE BORDEAUX 2016,ROUGE,CÔTES DE BLAYE,13.0,VIGNERONS DE TUTIAC,FRANCE,5.6,6,6,4,0,Rouge écarlate,Cerise croquante,"Convivial, léger, fluide","Viande rouge, Viande blanche, Charcuterie","L'appellation Blaye Côtes de Bordeaux est l'une des plus grandes de la région bordelaise et la cinquième appellation la plus vendue en France. Elle est notamment réputée pour ses vins rouges de plaisir à prix doux.
Ce Marquis de Mascaret est un Bordeaux agréable qui ne sera ni lourd pour votre palais ni pour votre porte-monnaie. Issu des deux cépages stars de Bordeaux le Merlot et le Cabernet sauvignon, vous trouverez ici un bon vin, léger, avec des arômes de fruits rouges gourmands, et des tanins bien incorporés. Si vous chercher un vin pour un repas convivial entre amis, vous pouvez y aller les yeux fermés !",https://vandb.fr/marquis-de-mascaret-blaye-cotes-de-bordeaux-2016.html
LA TOUR SAINT MARTIN POMMERAIS ROUGE 2017,ROUGE,MENETOU SALON,12.5,DOMAINES MINCHIN,FRANCE,15.2,6,8,6,0,Rouge rubis,"Fruits rouges frais, épices, myrtille","Frais, ample, soyeux","Viande rouge, Viande blanche, Poisson, Fromages","Albane et Bertrand Minchin, vignerons passionnés depuis leur jeunesse, ont commencé l'aventure du vin en 1987 à Menetou Salon. Suite à une mauvaise expérience avec un désherbant en 1999, Bertrand Minchin a eu une prise de conscience et a décidé de conduire son vignoble en agriculture raisonnée. Son objectif : des vins purs, sans levures artificielles, avec très peu de soufre ajouté.
Ses Menetou-Salon rouges issus de la propriété familiale ""La Tour St Martin"" sont de jolis Pinots Noirs pleins de gourmandise.
Du fruit et de la brillance pour votre plus grand plaisir.",https://vandb.fr/la-tour-saint-martin-pommerais-rouge-2017.html
